FishnetID,NAME
1044,Pudong New
1045,Qingpu
1046,Chongming
1047,Jinshan
1048,Fengxian
1049,Chongming
1050,Chongming
1051,Pudong New
1052,Pudong New
1053,Pudong New
1054,Qingpu
1055,Chongming
1056,Chongming
1057,Songjiang
1058,Jiading
1059,Pudong New
1060,Baoshan
1061,Baoshan
1062,Jiading
1063,Jinshan
1064,Jiading
1065,Jinshan
1066,Songjiang
1067,Qingpu
1068,Chongming
1069,Jinshan
1070,Chongming
1071,Chongming
1072,Baoshan
1073,Jinshan
1074,Chongming
1075,Baoshan
1076,Minhang
1077,Baoshan
1078,Songjiang
1079,Pudong New
1080,Chongming
1081,Songjiang
1082,Jiading
1083,Fengxian
1084,Jiading
1085,Chongming
1086,Chongming
1087,Chongming
1088,Pudong New
1089,Fengxian
1090,Songjiang
1091,Chongming
1092,Pudong New
1093,Chongming
1094,Qingpu
1095,Pudong New
1096,Pudong New
1097,Chongming
1098,Songjiang
1099,Jinshan
1100,Pudong New
1101,Minhang
1102,Jinshan
1103,Minhang
1104,Jinshan
1105,Jiading
1106,Songjiang
1107,Jinshan
1108,Baoshan
1109,Chongming
1110,Pudong New
1111,Jinshan
1112,Chongming
1113,Fengxian
1114,Jiading
1115,Jinshan
1116,Qingpu
1117,Jiading
1118,Songjiang
1119,Jinshan
1120,Qingpu
1121,Jinshan
1122,Jinshan
1123,Qingpu
1124,Chongming
1125,Songjiang
1126,Pudong New
1127,Chongming
1128,Qingpu
1129,Pudong New
1130,Jiading
1131,Minhang
1132,Jinshan
1133,Qingpu
1134,Chongming
1135,Qingpu
1136,Chongming
1137,Chongming
1138,Qingpu
1139,Chongming
1140,Pudong New
1141,Fengxian
1142,Pudong New
1143,Shanghai Proper
1144,Jiading
1145,Jinshan
1146,Pudong New
1147,Qingpu
1148,Baoshan
1149,Chongming
1150,Songjiang
1151,Pudong New
1152,Chongming
1153,Chongming
1154,Baoshan
1155,Chongming
1156,Qingpu
1157,Chongming
1158,Jinshan
1159,Pudong New
1160,Minhang
1161,Chongming
1162,Fengxian
1163,Chongming
1164,Fengxian
1165,Pudong New
1166,Songjiang
1167,Pudong New
1168,Qingpu
1169,Qingpu
1170,Fengxian
1171,Fengxian
1172,Fengxian
1173,Songjiang
1174,Qingpu
1175,Songjiang
1176,Baoshan
1177,Shanghai Proper
1178,Jinshan
1179,Songjiang
1180,Qingpu
1181,Songjiang
1182,Chongming
1183,Qingpu
1184,Qingpu
1185,Songjiang
1186,Chongming
1187,Jinshan
1188,Jiading
1189,Songjiang
1190,Songjiang
1191,Pudong New
1192,Baoshan
1193,Fengxian
1194,Jiading
1195,Chongming
1196,Pudong New
1197,Fengxian
1198,Chongming
1199,Jiading
1200,Fengxian
1201,Shanghai Proper
1202,Qingpu
1203,Shanghai Proper
1204,Jinshan
1205,Qingpu
1206,Minhang
1207,Songjiang
1208,Chongming
1209,Minhang
1210,Qingpu
1211,Qingpu
1212,Minhang
1213,Pudong New
1214,Chongming
1215,Songjiang
1216,Songjiang
1217,Jiading
1218,Baoshan
1219,Pudong New
1220,Chongming
1221,Pudong New
1222,Qingpu
1223,Fengxian
1224,Pudong New
1225,Minhang
1226,Pudong New
1227,Pudong New
1228,Songjiang
1229,Chongming
1230,Fengxian
1231,Jiading
1232,Baoshan
1233,Chongming
1234,Songjiang
1235,Fengxian
1236,Qingpu
1237,Songjiang
1238,Fengxian
1239,Fengxian
1240,Songjiang
1241,Songjiang
1242,Fengxian
1243,Baoshan
1244,Baoshan
1245,Chongming
1246,Minhang
1247,Pudong New
1248,Songjiang
1249,Pudong New
1250,Pudong New
1251,Pudong New
1252,Songjiang
1253,Jiading
1254,Pudong New
1255,Chongming
1256,Pudong New
1257,Pudong New
1258,Pudong New
